DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2012
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260590 GAMELEIRA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260600 GARANHUNS";2;6;42;102;190;76;102;64;4;11;10;-;609
"260610 GLORIA DO GOITA";41;41;45;10;5;5;7;2;4;6;5;4;175
"260620 GOIANA";-;4;56;68;20;1;4;1;-;1;-;-;155
"260630 GRANITO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260640 GRAVATA";3;12;39;75;56;13;4;1;2;1;1;-;207
"260650 IATI";-;-;1;6;5;1;1;-;-;-;-;-;14
"260660 IBIMIRIM";-;2;3;14;-;-;-;-;-;-;-;-;19
"260670 IBIRAJUBA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260680 IGARASSU";17;30;101;216;166;71;41;20;14;22;7;11;716
"260690 IGUARACY";-;2;13;4;5;1;-;-;-;-;-;-;25
"260700 INAJA";-;-;4;8;9;1;1;-;1;-;-;-;24
"260710 INGAZEIRA";-;-;9;15;-;-;-;-;-;-;-;-;24
"260720 IPOJUCA";18;49;159;161;113;85;42;27;15;16;9;14;708
"260730 IPUBI";3;-;1;-;1;-;-;-;-;-;-;-;5
"260740 ITACURUBA";1;-;1;-;3;1;-;-;-;-;-;-;6
"260750 ITAIBA";-;21;18;2;-;-;-;-;-;-;-;-;41
"260760 ILHA DE ITAMARACA";3;1;1;2;2;1;4;2;-;-;-;-;16
"260765 ITAMBE";27;60;26;20;7;1;-;-;-;-;-;-;141
"260770 ITAPETIM";-;-;32;28;15;1;-;-;-;-;-;-;76
"260775 ITAPISSUMA";-;2;3;1;-;-;-;-;1;-;-;-;7
"260780 ITAQUITINGA";1;11;57;10;4;-;-;-;-;2;-;-;85
"260790 JABOATAO DOS GUARARAPES";98;136;268;312;223;103;120;69;38;28;30;27;1452
"260795 JAQUEIRA";-;-;-;2;2;1;1;1;1;-;-;-;8
"260800 JATAUBA";-;1;9;1;-;1;-;-;-;-;-;-;12
"260805 JATOBA";-;-;-;4;5;3;-;5;-;1;-;-;18
"260810 JOAO ALFREDO";-;1;-;-;-;-;1;-;-;-;-;-;2
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;-;-;-;1;-;-;-;-;-;-;1
"260830 JUPI";-;-;1;1;5;-;-;-;-;-;-;-;7
"260840 JUREMA";-;-;-;1;1;-;-;-;-;-;-;-;2
"260845 LAGOA DO CARRO";35;11;7;-;2;-;-;1;1;-;-;-;57
"260850 LAGOA DE ITAENGA";2;2;-;-;-;-;-;-;-;-;-;-;4
"260860 LAGOA DO OURO";-;-;-;-;4;9;-;-;-;-;-;-;13
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260875 LAGOA GRANDE";2;3;8;29;21;8;-;1;1;-;-;-;73
"260880 LAJEDO";-;-;1;8;18;4;1;-;-;-;-;-;32
"260890 LIMOEIRO";162;122;64;59;17;15;16;5;4;2;5;3;474
"260900 MACAPARANA";2;2;19;119;21;6;2;3;-;-;-;-;174
"260910 MACHADOS";-;1;12;-;7;7;2;2;2;1;-;-;34
"260915 MANARI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260920 MARAIAL";-;-;2;2;5;-;-;-;-;-;-;-;9
"260930 MIRANDIBA";-;1;1;21;23;1;-;-;-;-;-;-;47
"260940 MORENO";1;25;20;12;2;-;-;-;-;1;-;-;61
"260950 NAZARE DA MATA";4;2;-;1;4;-;-;-;-;-;-;1;12
"260960 OLINDA";126;209;371;272;164;68;45;61;66;27;32;28;1469
"260970 OROBO";-;-;5;11;20;8;6;2;1;1;-;-;54
"260980 OROCO";1;-;-;-;2;-;-;-;-;-;-;-;3
"260990 OURICURI";9;3;2;3;1;-;-;4;-;-;-;-;22
"261000 PALMARES";-;2;15;132;96;2;15;1;1;1;1;-;266
"261010 PALMEIRINA";-;-;-;1;-;1;-;-;-;-;-;-;2
"261020 PANELAS";-;-;1;-;-;-;1;-;-;-;-;-;2
"261030 PARANATAMA";-;-;-;1;2;-;1;-;-;-;-;-;4
"261040 PARNAMIRIM";-;-;50;48;20;-;7;6;-;-;-;-;131
"261050 PASSIRA";93;38;5;-;-;-;-;-;-;-;-;-;136
"261060 PAUDALHO";-;-;3;2;2;-;1;-;-;-;-;1;9
"261070 PAULISTA";63;89;124;45;114;117;108;44;4;17;7;1;733
"261080 PEDRA";-;3;10;31;6;1;-;-;-;-;-;-;51
"261090 PESQUEIRA";1;6;28;42;14;3;-;1;-;-;-;-;95
"261100 PETROLANDIA";1;2;8;16;11;7;2;1;-;3;-;-;51
"261110 PETROLINA";49;39;50;71;58;32;11;2;6;2;-;1;321
"261120 POCAO";-;-;2;16;-;-;-;-;-;-;-;-;18
"261130 POMBOS";3;3;6;14;12;5;1;1;-;-;-;-;45
"261140 PRIMAVERA";1;17;32;133;91;13;8;-;-;-;-;-;295
"261150 QUIPAPA";-;-;-;-;3;-;-;-;-;-;-;-;3
"261153 QUIXABA";2;2;18;15;-;-;-;-;-;-;-;-;37
"261160 RECIFE";1529;2391;3510;2161;1127;694;493;284;112;115;117;110;12643
"261170 RIACHO DAS ALMAS";2;6;5;4;3;-;-;-;-;-;-;-;20
"261180 RIBEIRAO";-;2;10;9;6;1;-;1;-;-;-;-;29
"261190 RIO FORMOSO";-;-;-;1;9;14;15;3;-;3;1;-;46
"261200 SAIRE";-;-;9;13;-;-;-;1;-;-;-;-;23
"261210 SALGADINHO";-;2;-;1;-;-;-;-;-;-;-;-;3
"261220 SALGUEIRO";13;8;36;39;21;11;7;4;1;1;2;3;146
"261230 SALOA";-;-;-;1;2;3;-;-;-;-;-;-;6
"261240 SANHARO";1;-;2;4;4;-;-;-;-;-;-;-;11
"261245 SANTA CRUZ";2;25;55;12;3;3;1;-;-;-;-;-;101
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;7;11;11;4;-;-;-;-;-;-;33
"261250 SANTA CRUZ DO CAPIBARIBE";1;-;1;2;3;-;-;1;-;-;-;-;8
"261255 SANTA FILOMENA";1;17;4;3;1;-;2;-;-;-;-;-;28
"261260 SANTA MARIA DA BOA VISTA";-;-;-;-;4;1;1;-;-;1;-;-;7
"261270 SANTA MARIA DO CAMBUCA";-;-;-;2;4;2;-;1;-;-;-;-;9
"261280 SANTA TEREZINHA";-;3;19;49;34;3;-;-;-;-;-;-;108
"261290 SAO BENEDITO DO SUL";-;-;1;-;-;2;-;-;-;-;-;-;3
"261300 SAO BENTO DO UNA";8;9;32;11;-;-;-;-;-;-;-;-;60
"261310 SAO CAITANO";-;-;4;5;4;-;-;-;-;-;-;-;13
"261320 SAO JOAO";-;-;2;4;5;3;-;-;-;-;-;1;15
"261330 SAO JOAQUIM DO MONTE";-;-;-;2;-;-;-;-;-;-;-;-;2
"261340 SAO JOSE DA COROA GRANDE";1;3;15;23;14;2;-;1;-;-;-;1;60
"261350 SAO JOSE DO BELMONTE";-;5;13;169;41;8;5;3;-;-;2;1;247
"261360 SAO JOSE DO EGITO";28;205;294;96;62;10;1;2;2;-;-;-;700
"261370 SAO LOURENCO DA MATA";12;10;28;21;1;2;2;-;1;-;4;1;82
"261380 SAO VICENTE FERRER";-;-;-;1;1;2;-;-;-;-;-;-;4
"261390 SERRA TALHADA";12;20;55;70;57;21;3;3;-;1;1;1;244
"261400 SERRITA";2;21;9;10;9;11;3;-;3;1;-;-;69
"261410 SERTANIA";22;15;17;4;-;-;-;-;-;-;-;-;58
"261420 SIRINHAEM";1;1;10;1;5;-;-;-;-;-;-;-;18
"261430 MOREILANDIA";-;6;5;3;4;-;-;-;-;-;-;-;18
"261440 SOLIDAO";1;1;6;8;7;1;-;-;-;-;-;-;24
"261450 SURUBIM";39;25;103;40;19;5;1;-;1;-;3;1;237
"261460 TABIRA";-;11;42;9;3;-;1;-;-;-;-;-;66
"261470 TACAIMBO";-;1;-;1;5;-;-;-;-;-;-;-;7
"261480 TACARATU";-;-;-;-;-;1;-;-;-;-;-;-;1
"261485 TAMANDARE";-;-;2;5;10;-;2;-;-;-;-;1;20
"261500 TAQUARITINGA DO NORTE";6;3;8;19;52;31;16;9;3;1;-;-;148
"261510 TEREZINHA";-;-;-;1;2;4;-;1;-;-;-;-;8
"261520 TERRA NOVA";-;8;8;1;-;-;-;-;-;-;-;-;17
"261530 TIMBAUBA";2;29;144;74;9;3;-;-;1;-;3;1;266
"261540 TORITAMA";1;-;-;-;1;2;8;-;-;-;-;-;12
"261550 TRACUNHAEM";1;7;9;8;2;-;-;-;-;-;-;1;28
"261560 TRINDADE";-;-;-;1;-;3;-;-;-;-;-;-;4
"261570 TRIUNFO";1;3;6;18;82;41;7;2;-;-;-;-;160
"261580 TUPANATINGA";2;-;4;22;21;4;-;-;-;-;-;-;53
"261590 TUPARETAMA";-;-;6;19;4;-;-;-;-;-;-;-;29
"261600 VENTUROSA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261610 VERDEJANTE";-;-;5;2;-;-;2;-;-;-;-;-;9
"261618 VERTENTE DO LERIO";1;-;-;-;-;-;-;-;-;-;-;-;1
"261620 VERTENTES";7;26;57;42;13;2;3;-;-;-;-;-;150
"261630 VICENCIA";-;-;3;1;-;-;-;-;-;-;-;-;4
"261640 VITORIA DE SANTO ANTAO";108;31;35;18;5;3;1;1;2;1;1;2;208
"261650 XEXEU";-;-;-;1;-;2;2;1;-;-;-;-;6
"Total";3309;4982;8198;6906;4112;1909;1385;771;320;285;256;234;32667
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
   pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG)
   em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico.
   A partir de 2013, deve-se incluir, além dos casos graves, aqueles com classificação final dengue.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
