DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2023
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"260930 MIRANDIBA";1;-;-;-;-;-;-;1
"260940 MORENO";-;-;-;-;-;-;-;-
"260950 NAZARE DA MATA";-;2;-;-;-;-;-;2
"260960 OLINDA";4;6;95;6;-;-;-;111
"260970 OROBO";-;1;-;-;-;-;-;1
"260980 OROCO";-;-;-;1;-;-;-;1
"260990 OURICURI";3;1;3;3;1;-;-;11
"261000 PALMARES";-;-;2;1;-;2;-;5
"261010 PALMEIRINA";-;-;1;-;1;-;-;2
"261020 PANELAS";-;-;1;-;-;-;-;1
"261030 PARANATAMA";-;-;-;1;-;-;-;1
"261040 PARNAMIRIM";-;-;1;2;14;2;-;19
"261050 PASSIRA";-;1;-;10;15;20;-;46
"261060 PAUDALHO";8;11;19;98;29;51;5;221
"261070 PAULISTA";60;49;167;35;17;19;13;360
"261080 PEDRA";-;-;1;1;-;1;-;3
"261090 PESQUEIRA";1;-;2;1;-;-;-;4
"261100 PETROLANDIA";-;-;-;-;-;-;-;-
"261110 PETROLINA";11;6;10;3;13;45;9;97
"261120 POCAO";-;-;21;-;-;-;-;21
"261130 POMBOS";-;-;-;-;-;-;-;-
"261140 PRIMAVERA";-;-;3;-;-;-;1;4
"261150 QUIPAPA";6;-;4;6;5;4;-;25
"261153 QUIXABA";-;-;-;-;-;-;-;-
"261160 RECIFE";91;148;479;390;257;168;27;1560
"261170 RIACHO DAS ALMAS";-;-;1;1;-;-;1;3
"261180 RIBEIRAO";-;-;-;-;-;-;-;-
"261190 RIO FORMOSO";-;-;-;-;-;-;-;-
"261200 SAIRE";-;-;-;-;1;-;-;1
"261210 SALGADINHO";-;-;-;-;-;-;-;-
"261220 SALGUEIRO";-;-;4;1;4;-;-;9
"261230 SALOA";-;-;-;-;1;-;-;1
"261240 SANHARO";1;2;1;-;2;11;-;17
"261245 SANTA CRUZ";-;-;-;1;2;2;-;5
"261247 SANTA CRUZ DA BAIXA VERDE";-;1;2;-;-;-;-;3
"261250 SANTA CRUZ DO CAPIBARIBE";3;11;11;9;14;48;26;122
"261255 SANTA FILOMENA";-;-;5;17;2;1;-;25
"261260 SANTA MARIA DA BOA VISTA";-;-;-;-;2;-;-;2
"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;-;-;-;-
"261280 SANTA TEREZINHA";-;-;-;2;2;1;-;5
"261290 SAO BENEDITO DO SUL";-;-;-;-;-;-;-;-
"261300 SAO BENTO DO UNA";4;-;2;2;4;3;-;15
"261310 SAO CAITANO";-;-;-;-;-;-;-;-
"261320 SAO JOAO";-;-;1;2;-;-;-;3
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;-;-;-
"261340 SAO JOSE DA COROA GRANDE";-;-;1;1;-;-;-;2
"261350 SAO JOSE DO BELMONTE";3;1;7;10;10;15;4;50
"261360 SAO JOSE DO EGITO";-;-;1;8;5;1;-;15
"261370 SAO LOURENCO DA MATA";-;1;3;5;1;-;-;10
"261380 SAO VICENTE FERRER";-;-;-;-;-;-;-;-
"261390 SERRA TALHADA";1;3;6;4;8;3;-;25
"261400 SERRITA";-;-;-;-;-;-;-;-
"261410 SERTANIA";-;-;-;-;-;-;-;-
"261420 SIRINHAEM";-;-;-;-;1;-;-;1
"261430 MOREILANDIA";-;-;-;4;56;12;-;72
"261440 SOLIDAO";-;1;-;-;-;2;-;3
"261450 SURUBIM";-;-;-;1;-;6;2;9
"261460 TABIRA";3;-;1;-;1;-;-;5
"261470 TACAIMBO";1;2;-;-;3;2;-;8
"261480 TACARATU";-;-;-;-;-;-;-;-
"261485 TAMANDARE";-;-;1;-;-;-;-;1
"261500 TAQUARITINGA DO NORTE";-;-;-;-;-;-;-;-
"261510 TEREZINHA";-;-;-;1;1;12;5;19
"261520 TERRA NOVA";-;-;-;5;3;3;-;11
"261530 TIMBAUBA";1;2;1;-;-;-;-;4
"261540 TORITAMA";-;-;-;-;-;-;-;-
"261550 TRACUNHAEM";1;6;-;19;1;-;-;27
"261560 TRINDADE";12;15;36;30;14;4;1;112
"261570 TRIUNFO";-;-;-;-;-;-;-;-
"261580 TUPANATINGA";-;-;-;-;-;-;-;-
"261590 TUPARETAMA";-;-;-;3;1;2;-;6
"261600 VENTUROSA";-;-;-;1;1;-;-;2
"261610 VERDEJANTE";-;1;3;4;1;-;-;9
"261618 VERTENTE DO LERIO";-;-;-;-;-;-;-;-
"261620 VERTENTES";-;-;7;5;3;-;-;15
"261630 VICENCIA";-;-;3;-;-;-;-;3
"261640 VITORIA DE SANTO ANTAO";29;37;130;130;53;43;11;433
"261650 XEXEU";-;-;-;-;-;-;-;-
"Total";388;667;1856;1733;1321;1264;254;7483
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados
   disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que para tal, realiza análise
   ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue,
    dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose
   urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar
   notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epidemiologica 01).
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 13/07/2023, sujeitos a revisão*.
 *Dados disponibilizados no TABNET em setembro de 2023.
 
