DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260830 JUPI";-;-;-;-;-;1;-;-;-;-;-;-;1
"260840 JUREMA";-;-;-;1;2;3;1;-;-;-;-;-;7
"260845 LAGOA DO CARRO";4;-;-;3;-;-;-;3;1;1;-;-;12
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;1;-;-;-;-;-;1
"260860 LAGOA DO OURO";1;-;3;49;69;28;1;-;-;-;-;-;151
"260870 LAGOA DOS GATOS";-;-;35;12;-;-;-;2;1;-;-;-;50
"260875 LAGOA GRANDE";-;1;3;-;4;22;7;1;1;-;-;1;40
"260880 LAJEDO";2;1;-;1;2;-;2;1;-;1;3;-;13
"260890 LIMOEIRO";23;21;43;42;66;51;50;53;32;22;23;16;442
"260900 MACAPARANA";1;2;14;22;8;3;-;1;-;-;-;-;51
"260910 MACHADOS";3;3;4;-;-;-;-;-;-;-;-;-;10
"260915 MANARI";-;-;2;4;3;-;-;2;1;-;-;-;12
"260920 MARAIAL";-;-;-;-;-;-;-;-;1;1;-;-;2
"260930 MIRANDIBA";-;13;6;78;25;-;-;-;-;-;-;-;122
"260940 MORENO";-;-;2;10;8;1;1;2;-;18;17;15;74
"260950 NAZARE DA MATA";-;-;-;12;8;51;60;30;29;11;2;4;207
"260960 OLINDA";2;13;27;41;68;56;97;95;53;72;39;24;587
"260970 OROBO";-;5;6;11;21;7;-;-;1;1;1;-;53
"260980 OROCO";-;3;9;2;17;1;1;-;-;-;-;-;33
"260990 OURICURI";-;1;1;3;2;1;2;2;-;-;-;7;19
"261000 PALMARES";11;36;90;79;99;63;49;34;29;21;27;9;547
"261010 PALMEIRINA";-;-;-;1;9;31;4;-;-;-;-;-;45
"261020 PANELAS";-;-;-;24;56;28;23;-;-;-;-;-;131
"261030 PARANATAMA";-;-;4;54;21;5;1;-;-;-;-;-;85
"261040 PARNAMIRIM";-;-;-;15;198;11;-;-;-;-;-;-;224
"261050 PASSIRA";1;2;-;-;1;2;-;-;1;2;1;-;10
"261060 PAUDALHO";1;9;22;19;109;48;19;13;11;7;2;1;261
"261070 PAULISTA";11;38;58;72;133;211;239;204;147;192;5;13;1323
"261080 PEDRA";1;-;3;6;10;8;12;3;4;1;1;-;49
"261090 PESQUEIRA";-;-;-;-;6;65;45;30;51;22;3;26;248
"261100 PETROLANDIA";-;-;-;-;-;2;-;-;-;-;-;-;2
"261110 PETROLINA";10;21;18;52;524;406;235;81;47;31;10;4;1439
"261120 POCAO";-;-;-;1;3;-;1;-;-;-;-;-;5
"261130 POMBOS";-;-;-;-;11;14;12;6;22;22;18;3;108
"261140 PRIMAVERA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261150 QUIPAPA";-;-;-;18;42;60;4;1;3;-;-;-;128
"261153 QUIXABA";-;-;1;-;1;-;-;1;-;-;-;1;4
"261160 RECIFE";104;164;225;578;1125;846;993;886;867;704;458;234;7184
"261170 RIACHO DAS ALMAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"261180 RIBEIRAO";1;4;4;6;-;-;-;1;-;-;-;-;16
"261190 RIO FORMOSO";2;2;4;11;45;34;23;11;10;10;8;4;164
"261200 SAIRE";-;-;-;-;-;-;-;-;-;-;-;-;-
"261210 SALGADINHO";-;-;-;1;-;1;-;-;-;-;-;-;2
"261220 SALGUEIRO";105;542;218;447;1331;417;68;24;9;5;8;2;3176
"261230 SALOA";-;-;-;-;3;3;5;-;-;-;-;-;11
"261240 SANHARO";-;-;-;-;2;1;-;-;-;-;-;-;3
"261245 SANTA CRUZ";-;-;2;1;5;1;1;-;-;-;-;-;10
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;-;15;1;-;-;-;-;-;-;16
"261250 SANTA CRUZ DO CAPIBARIBE";3;3;6;-;1;3;3;5;14;1;2;2;43
"261255 SANTA FILOMENA";-;-;-;1;-;-;-;-;-;-;-;-;1
"261260 SANTA MARIA DA BOA VISTA";-;-;-;-;2;1;4;1;-;1;-;-;9
"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;1;-;-;-;-;-;-;-;1
"261280 SANTA TEREZINHA";-;-;2;-;3;-;1;-;-;-;-;-;6
"261290 SAO BENEDITO DO SUL";-;-;-;-;-;-;-;1;1;-;-;-;2
"261300 SAO BENTO DO UNA";-;-;-;-;-;1;1;1;-;-;-;6;9
"261310 SAO CAITANO";-;-;1;2;2;1;-;1;2;3;-;-;12
"261320 SAO JOAO";-;3;2;5;23;20;6;-;-;-;-;-;59
"261330 SAO JOAQUIM DO MONTE";-;-;3;11;13;7;1;1;-;-;-;-;36
"261340 SAO JOSE DA COROA GRANDE";-;3;3;19;33;13;5;-;-;-;-;-;76
"261350 SAO JOSE DO BELMONTE";1;5;5;64;59;32;14;11;2;-;-;-;193
"261360 SAO JOSE DO EGITO";-;1;2;13;16;23;29;5;17;11;1;-;118
"261370 SAO LOURENCO DA MATA";9;55;119;85;150;134;62;45;39;50;16;27;791
"261380 SAO VICENTE FERRER";-;1;4;11;38;10;2;1;-;-;-;-;67
"261390 SERRA TALHADA";-;19;28;184;482;224;48;24;4;-;2;3;1018
"261400 SERRITA";-;2;-;9;23;1;-;-;2;-;-;-;37
"261410 SERTANIA";-;4;12;71;170;116;17;-;-;-;1;-;391
"261420 SIRINHAEM";-;7;1;11;14;37;19;11;18;13;4;-;135
"261430 MOREILANDIA";-;-;-;10;52;12;-;-;-;-;-;-;74
"261440 SOLIDAO";-;-;8;43;54;16;13;-;1;-;-;-;135
"261450 SURUBIM";2;-;1;2;6;4;6;5;9;2;2;1;40
"261460 TABIRA";1;33;15;14;12;-;-;-;-;-;-;-;75
"261470 TACAIMBO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261480 TACARATU";2;1;-;1;8;15;14;4;4;1;-;1;51
"261485 TAMANDARE";-;-;4;14;27;13;4;-;-;-;-;-;62
"261500 TAQUARITINGA DO NORTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"261510 TEREZINHA";-;-;-;15;19;3;-;-;-;-;-;-;37
"261520 TERRA NOVA";-;1;-;108;136;51;32;26;33;3;-;-;390
"261530 TIMBAUBA";2;3;19;67;109;4;3;1;2;-;-;2;212
"261540 TORITAMA";1;-;-;2;7;17;6;7;3;1;-;-;44
"261550 TRACUNHAEM";-;-;-;-;-;-;-;-;-;-;-;-;-
"261560 TRINDADE";-;1;-;3;4;-;1;1;-;-;1;1;12
"261570 TRIUNFO";1;1;1;8;50;-;-;-;-;-;-;-;61
"261580 TUPANATINGA";6;2;27;7;-;-;-;-;-;-;-;-;42
"261590 TUPARETAMA";-;-;-;-;3;-;3;2;4;2;-;-;14
"261600 VENTUROSA";-;-;-;3;8;-;2;1;2;-;-;-;16
"261610 VERDEJANTE";4;27;12;44;97;63;3;-;-;-;-;-;250
"261618 VERTENTE DO LERIO";-;-;-;-;1;-;4;-;6;-;-;-;11
"261620 VERTENTES";2;1;-;-;2;-;-;5;4;-;-;-;14
"261630 VICENCIA";6;8;4;7;8;9;1;-;-;4;1;-;48
"261640 VITORIA DE SANTO ANTAO";-;2;4;19;15;20;43;23;33;56;30;7;252
"261650 XEXEU";-;-;3;-;6;-;-;-;-;-;-;-;9
"Total";674;1540;2038;4599;8799;5577;3951;2996;2832;2323;1450;951;37730
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados
   disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que para tal, realiza análise
   ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue,
    dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose
   urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar
   notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epidemiologica 01).
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 13/07/2023, sujeitos a revisão*.
 *Dados disponibilizados no TABNET em setembro de 2023.
 
