DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2016
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260940 MORENO";15;115;305;213;140;68;4;20;6;17;3;4;910
"260950 NAZARE DA MATA";9;3;3;-;-;-;1;-;-;-;-;-;16
"260960 OLINDA";75;170;133;65;55;35;24;30;24;22;30;26;689
"260970 OROBO";43;190;9;2;2;-;-;1;-;1;-;-;248
"260980 OROCO";-;2;-;-;-;-;-;-;-;-;-;-;2
"260990 OURICURI";5;9;10;-;-;-;-;-;-;-;-;-;24
"261000 PALMARES";46;169;27;10;8;7;-;4;-;-;1;2;274
"261010 PALMEIRINA";3;-;13;-;-;-;1;-;-;-;-;-;17
"261020 PANELAS";16;20;23;1;1;-;-;-;-;-;-;-;61
"261030 PARANATAMA";1;13;9;2;-;-;-;-;-;-;-;-;25
"261040 PARNAMIRIM";-;4;11;-;-;-;-;-;-;-;-;-;15
"261050 PASSIRA";7;1;8;3;10;3;-;-;1;1;1;-;35
"261060 PAUDALHO";-;11;3;2;15;1;1;3;-;-;-;-;36
"261070 PAULISTA";110;136;117;49;46;36;42;37;32;16;38;25;684
"261080 PEDRA";14;1;6;1;-;-;-;2;3;-;-;-;27
"261090 PESQUEIRA";678;119;18;6;7;-;1;-;2;-;1;-;832
"261100 PETROLANDIA";21;28;18;4;4;-;-;-;2;4;-;-;81
"261110 PETROLINA";27;69;114;37;26;6;3;9;3;7;4;3;308
"261120 POCAO";285;196;202;21;-;-;-;-;-;-;-;-;704
"261130 POMBOS";20;48;34;9;-;-;-;-;-;-;-;-;111
"261140 PRIMAVERA";7;16;9;1;3;-;-;-;-;-;-;-;36
"261150 QUIPAPA";3;17;34;20;25;12;-;-;-;-;-;-;111
"261153 QUIXABA";1;-;-;-;-;-;-;-;-;-;-;-;1
"261160 RECIFE";3425;5022;3644;2209;1540;889;481;422;307;293;224;218;18674
"261170 RIACHO DAS ALMAS";10;3;3;-;-;2;-;-;-;-;-;-;18
"261180 RIBEIRAO";1;1;25;15;13;3;-;-;-;-;-;-;58
"261190 RIO FORMOSO";2;21;232;34;-;-;-;-;-;-;-;-;289
"261200 SAIRE";-;-;-;-;-;-;-;-;-;-;-;-;-
"261210 SALGADINHO";-;2;-;-;-;-;-;-;-;-;-;-;2
"261220 SALGUEIRO";15;86;153;36;18;17;5;1;3;4;-;2;340
"261230 SALOA";1;24;-;-;-;-;-;-;-;-;-;-;25
"261240 SANHARO";111;205;7;-;-;-;-;-;-;-;-;-;323
"261245 SANTA CRUZ";-;-;-;-;1;-;-;-;-;-;-;-;1
"261247 SANTA CRUZ DA BAIXA VERDE";3;49;20;1;3;-;-;-;-;-;-;-;76
"261250 SANTA CRUZ DO CAPIBARIBE";3;3;2;1;2;-;2;2;2;1;1;-;19
"261255 SANTA FILOMENA";-;-;3;-;1;-;1;-;-;-;-;1;6
"261260 SANTA MARIA DA BOA VISTA";-;1;1;2;-;-;-;-;-;-;-;-;4
"261270 SANTA MARIA DO CAMBUCA";1;1;4;-;-;-;-;2;-;-;-;1;9
"261280 SANTA TEREZINHA";20;130;82;4;1;1;-;-;-;-;-;-;238
"261290 SAO BENEDITO DO SUL";-;-;-;3;-;-;1;-;-;-;-;-;4
"261300 SAO BENTO DO UNA";9;-;-;-;-;-;3;-;-;-;1;-;13
"261310 SAO CAITANO";7;1;1;1;2;-;-;-;-;-;-;-;12
"261320 SAO JOAO";18;15;38;3;1;66;71;33;12;19;10;15;301
"261330 SAO JOAQUIM DO MONTE";22;41;6;-;-;-;-;-;-;-;-;-;69
"261340 SAO JOSE DA COROA GRANDE";3;11;31;10;-;-;1;-;-;-;-;-;56
"261350 SAO JOSE DO BELMONTE";-;2;6;1;2;-;1;-;-;-;-;-;12
"261360 SAO JOSE DO EGITO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261370 SAO LOURENCO DA MATA";193;314;413;61;13;19;5;4;2;1;-;-;1025
"261380 SAO VICENTE FERRER";11;14;5;6;2;-;1;-;-;-;-;-;39
"261390 SERRA TALHADA";28;86;69;9;4;1;1;3;1;-;1;1;204
"261400 SERRITA";3;2;4;19;13;2;3;-;-;-;-;-;46
"261410 SERTANIA";219;157;72;277;50;1;4;13;18;14;-;-;825
"261420 SIRINHAEM";154;228;1;-;-;-;-;-;-;-;-;-;383
"261430 MOREILANDIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"261440 SOLIDAO";5;22;3;1;-;-;-;-;-;-;-;-;31
"261450 SURUBIM";7;-;3;1;1;-;1;-;4;3;2;-;22
"261460 TABIRA";59;16;-;7;-;-;-;-;-;-;-;-;82
"261470 TACAIMBO";-;3;-;-;-;-;-;-;-;-;-;-;3
"261480 TACARATU";21;8;8;3;-;-;-;-;-;-;-;-;40
"261485 TAMANDARE";3;38;5;-;-;-;-;-;-;-;-;-;46
"261500 TAQUARITINGA DO NORTE";14;2;1;-;3;5;-;-;1;-;-;-;26
"261510 TEREZINHA";-;-;-;-;-;1;-;-;-;-;-;-;1
"261520 TERRA NOVA";-;-;2;1;-;-;-;-;-;-;-;-;3
"261530 TIMBAUBA";491;146;93;31;-;-;3;9;6;-;-;1;780
"261540 TORITAMA";-;-;-;1;-;-;-;1;-;-;-;-;2
"261550 TRACUNHAEM";339;258;33;52;6;3;2;3;1;-;2;2;701
"261560 TRINDADE";4;2;2;-;-;-;-;-;-;-;-;-;8
"261570 TRIUNFO";2;12;3;-;-;-;-;-;-;-;-;-;17
"261580 TUPANATINGA";162;71;27;-;-;-;-;-;-;-;-;-;260
"261590 TUPARETAMA";1;2;-;-;-;-;-;-;-;-;-;-;3
"261600 VENTUROSA";-;-;-;12;-;-;-;-;-;1;4;-;17
"261610 VERDEJANTE";2;2;-;1;1;-;-;1;-;-;-;-;7
"261618 VERTENTE DO LERIO";57;69;76;7;-;-;-;-;-;-;-;-;209
"261620 VERTENTES";42;32;2;9;56;-;-;1;-;-;-;-;142
"261630 VICENCIA";196;38;3;-;-;-;-;-;-;-;-;-;237
"261640 VITORIA DE SANTO ANTAO";578;632;306;36;12;3;2;7;3;-;-;3;1582
"261650 XEXEU";-;14;1;1;-;-;-;-;-;-;-;-;16
"Total";16273;17627;13043;5448;3235;1948;1226;1157;777;597;534;438;62303
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados
   disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que para tal, realiza análise
   ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue,
    dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose
   urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar
   notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epidemiologica 01).
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 13/07/2023, sujeitos a revisão*.
 *Dados disponibilizados no TABNET em setembro de 2023.
 
