DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2014
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;1;1
"260430 CEDRO";-;-;-;21;73;32;7;-;-;-;-;-;133
"260440 CHA DE ALEGRIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260450 CHA GRANDE";-;-;-;-;-;-;-;-;3;-;-;-;3
"260460 CONDADO";-;1;-;-;1;2;1;1;-;6;2;-;14
"260470 CORRENTES";-;-;-;-;1;2;-;-;-;-;2;-;5
"260480 CORTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260490 CUMARU";-;-;-;2;-;-;-;2;-;-;-;-;4
"260500 CUPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260510 CUSTODIA";-;-;-;3;2;4;-;-;-;-;1;81;91
"260515 DORMENTES";-;-;-;51;-;4;-;-;-;-;-;-;55
"260520 ESCADA";-;-;-;-;-;-;1;-;-;-;5;-;6
"260530 EXU";-;-;-;-;-;-;12;5;-;-;-;-;17
"260540 FEIRA NOVA";1;2;2;1;-;1;1;3;-;-;1;-;12
"260545 FERNANDO DE NORONHA";-;-;2;-;-;7;-;-;-;-;-;-;9
"260550 FERREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260560 FLORES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260570 FLORESTA";-;2;1;7;3;3;-;-;6;2;-;-;24
"260580 FREI MIGUELINHO";-;-;-;-;-;9;-;11;-;-;-;-;20
"260590 GAMELEIRA";-;-;-;-;-;-;-;-;1;-;1;-;2
"260600 GARANHUNS";16;7;10;24;28;16;2;6;1;-;6;6;122
"260610 GLORIA DO GOITA";-;-;-;2;2;-;-;-;-;-;-;-;4
"260620 GOIANA";2;6;17;4;9;3;2;-;1;-;4;2;50
"260630 GRANITO";-;-;-;-;-;1;-;-;-;-;-;-;1
"260640 GRAVATA";7;15;19;73;141;160;97;37;20;1;-;1;571
"260650 IATI";-;-;-;1;1;-;-;-;-;-;-;1;3
"260660 IBIMIRIM";-;-;-;-;-;1;-;1;1;1;-;1;5
"260670 IBIRAJUBA";2;-;-;-;-;-;-;-;-;-;-;-;2
"260680 IGARASSU";10;8;18;42;37;25;20;14;14;17;25;29;259
"260690 IGUARACY";1;-;-;1;-;4;-;-;-;-;1;-;7
"260700 INAJA";1;-;2;1;1;1;1;-;-;-;-;2;9
"260710 INGAZEIRA";-;-;-;-;2;-;1;-;-;-;1;-;4
"260720 IPOJUCA";2;1;4;3;7;5;6;4;-;2;-;1;35
"260730 IPUBI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260740 ITACURUBA";-;-;-;-;4;4;1;-;-;4;-;-;13
"260750 ITAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260760 ILHA DE ITAMARACA";-;1;1;1;-;5;1;-;-;-;-;1;10
"260765 ITAMBE";-;-;-;-;3;-;-;-;-;-;-;-;3
"260770 ITAPETIM";3;17;28;40;12;1;-;2;1;-;1;1;106
"260775 ITAPISSUMA";-;-;1;-;-;1;3;-;-;1;1;-;7
"260780 ITAQUITINGA";1;-;-;-;-;3;-;-;-;2;-;-;6
"260790 JABOATAO DOS GUARARAPES";8;4;5;3;10;41;35;31;82;118;175;90;602
"260795 JAQUEIRA";-;-;1;1;3;-;-;-;-;-;-;-;5
"260800 JATAUBA";-;2;-;-;1;1;-;-;-;1;-;-;5
"260805 JATOBA";-;-;-;-;-;-;-;1;1;-;-;-;2
"260810 JOAO ALFREDO";-;-;-;-;-;-;1;-;-;-;-;-;1
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260830 JUPI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260840 JUREMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260845 LAGOA DO CARRO";2;-;-;-;-;-;-;-;1;-;-;-;3
"260850 LAGOA DE ITAENGA";-;-;-;1;1;-;1;1;1;-;-;1;6
"260860 LAGOA DO OURO";-;-;-;-;4;61;76;41;11;1;1;-;195
"260870 LAGOA DOS GATOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"260875 LAGOA GRANDE";-;1;1;-;5;1;2;1;-;-;-;-;11
"260880 LAJEDO";-;-;-;-;1;1;-;1;-;-;-;-;3
"260890 LIMOEIRO";6;11;6;2;7;9;2;7;6;1;2;4;63
"260900 MACAPARANA";-;-;-;1;2;1;2;-;-;1;1;-;8
"260910 MACHADOS";-;-;-;-;1;2;2;1;-;-;-;-;6
"260915 MANARI";-;-;-;-;2;-;-;-;-;-;-;-;2
"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-
"260930 MIRANDIBA";-;-;2;12;23;41;30;-;-;-;1;-;109
"260940 MORENO";5;6;-;2;2;10;4;9;-;-;-;4;42
"260950 NAZARE DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260960 OLINDA";22;19;61;48;43;17;21;17;7;12;2;2;271
"260970 OROBO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260980 OROCO";-;-;-;-;-;-;-;1;1;-;-;-;2
"260990 OURICURI";1;-;-;-;-;1;1;-;1;-;1;-;5
"261000 PALMARES";-;1;-;-;1;2;2;2;3;-;-;-;11
"261010 PALMEIRINA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261020 PANELAS";-;21;31;46;5;1;-;-;-;-;-;-;104
"261030 PARANATAMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261040 PARNAMIRIM";-;-;-;-;6;5;-;1;-;-;-;-;12
"261050 PASSIRA";7;22;9;14;9;20;36;12;12;18;16;27;202
"261060 PAUDALHO";-;-;-;-;-;-;2;3;3;2;-;1;11
"261070 PAULISTA";11;50;12;22;15;36;104;54;51;29;31;31;446
"261080 PEDRA";-;-;4;5;5;3;3;-;-;-;-;-;20
"261090 PESQUEIRA";1;-;-;-;-;-;-;1;-;-;1;-;3
"261100 PETROLANDIA";-;-;-;3;3;6;-;-;-;-;-;-;12
"261110 PETROLINA";9;20;51;212;249;143;80;16;12;6;7;14;819
"261120 POCAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261130 POMBOS";-;2;-;-;1;-;-;-;-;-;-;-;3
"261140 PRIMAVERA";-;-;1;1;-;-;1;-;-;-;-;-;3
"261150 QUIPAPA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261153 QUIXABA";-;-;-;-;3;-;-;-;-;1;-;-;4
"261160 RECIFE";134;104;114;151;275;253;158;117;120;151;251;381;2209
"261170 RIACHO DAS ALMAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"261180 RIBEIRAO";-;-;-;4;1;-;1;-;-;-;-;-;6
"261190 RIO FORMOSO";1;-;-;-;1;-;-;-;-;-;-;-;2
"261200 SAIRE";-;-;-;-;-;-;-;-;-;-;-;-;-
"261210 SALGADINHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261220 SALGUEIRO";20;50;253;412;557;227;50;7;3;5;1;7;1592
"261230 SALOA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261240 SANHARO";-;1;-;-;2;6;2;-;1;-;2;2;16
"261245 SANTA CRUZ";-;-;-;-;-;-;-;-;-;-;-;-;-
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;-;7;3;2;2;-;-;-;-;14
"261250 SANTA CRUZ DO CAPIBARIBE";3;3;3;1;8;1;1;1;17;-;3;1;42
"261255 SANTA FILOMENA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261260 SANTA MARIA DA BOA VISTA";-;-;-;3;-;-;-;-;-;-;-;-;3
"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;-;1;-;-;-;-;-;-;1
"261280 SANTA TEREZINHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261290 SAO BENEDITO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-
"261300 SAO BENTO DO UNA";-;-;-;-;3;-;-;1;1;-;-;-;5
"261310 SAO CAITANO";-;-;-;-;-;-;-;-;-;-;1;-;1
"261320 SAO JOAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261330 SAO JOAQUIM DO MONTE";-;-;-;2;1;-;-;-;-;-;-;-;3
"261340 SAO JOSE DA COROA GRANDE";-;-;-;-;-;-;1;1;-;-;-;-;2
"261350 SAO JOSE DO BELMONTE";-;11;18;9;24;32;8;1;-;-;-;-;103
"261360 SAO JOSE DO EGITO";-;1;-;4;16;20;10;4;2;2;2;1;62
"261370 SAO LOURENCO DA MATA";3;4;2;1;-;1;2;1;2;1;-;4;21
"261380 SAO VICENTE FERRER";-;4;10;4;60;27;24;2;3;2;1;1;138
"261390 SERRA TALHADA";1;6;2;11;14;10;3;3;2;3;-;2;57
"261400 SERRITA";-;-;2;10;17;19;12;1;1;1;-;-;63
"261410 SERTANIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"261420 SIRINHAEM";-;-;-;30;3;-;-;-;-;-;-;-;33
"261430 MOREILANDIA";-;-;-;-;-;-;2;-;-;1;-;-;3
"261440 SOLIDAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"261450 SURUBIM";1;-;2;1;2;3;3;-;-;-;-;-;12
"261460 TABIRA";-;-;1;4;5;6;9;5;-;-;1;1;32
"261470 TACAIMBO";5;1;-;1;-;-;-;-;-;-;1;-;8
"261480 TACARATU";-;-;-;-;-;-;-;-;-;-;-;-;-
"261485 TAMANDARE";-;2;1;3;1;-;-;1;2;1;-;-;11
"261500 TAQUARITINGA DO NORTE";1;-;-;-;-;1;2;-;2;-;1;1;8
"261510 TEREZINHA";-;2;6;15;27;5;1;-;-;-;-;-;56
"261520 TERRA NOVA";-;-;1;7;5;1;3;-;-;-;-;-;17
"261530 TIMBAUBA";-;1;-;-;-;-;-;-;-;-;-;-;1
"261540 TORITAMA";-;-;-;-;-;-;-;-;-;11;3;6;20
"261550 TRACUNHAEM";-;-;-;-;-;3;-;-;-;-;-;-;3
"261560 TRINDADE";-;-;-;2;-;-;-;-;-;-;-;-;2
"261570 TRIUNFO";2;4;2;-;-;-;2;-;1;-;1;-;12
"261580 TUPANATINGA";1;-;-;2;10;2;1;-;-;-;-;-;16
"261590 TUPARETAMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261600 VENTUROSA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261610 VERDEJANTE";-;-;6;14;20;12;2;-;-;-;-;-;54
"261618 VERTENTE DO LERIO";-;-;-;-;-;2;-;-;-;-;-;-;2
"261620 VERTENTES";2;4;23;1;-;1;3;6;2;7;-;1;50
"261630 VICENCIA";-;-;-;-;-;-;2;8;-;-;-;-;10
"261640 VITORIA DE SANTO ANTAO";2;1;1;4;5;2;2;3;-;1;1;-;22
"261650 XEXEU";-;-;-;-;-;-;4;-;-;-;-;-;4
"Total";383;488;821;1465;2010;1510;985;508;448;454;638;812;10522
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados
   disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que para tal, realiza análise
   ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue,
    dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose
   urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar
   notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epidemiologica 01).
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 13/07/2023, sujeitos a revisão*.
 *Dados disponibilizados no TABNET em setembro de 2023.
 
