DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2022
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260730 IPUBI";-;-;1;22;12;3;2;-;1;-;-;-;41
"260740 ITACURUBA";-;3;14;7;8;-;1;2;-;1;-;-;36
"260750 ITAIBA";-;-;-;-;-;-;-;-;1;2;5;5;13
"260760 ILHA DE ITAMARACA";-;-;1;-;4;5;3;1;1;-;-;-;15
"260765 ITAMBE";-;-;-;-;2;7;-;-;-;-;-;-;9
"260770 ITAPETIM";-;-;-;-;1;1;3;2;-;-;-;-;7
"260775 ITAPISSUMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260780 ITAQUITINGA";-;-;-;-;1;-;-;1;1;-;-;-;3
"260790 JABOATAO DOS GUARARAPES";16;50;202;354;339;117;140;178;59;63;25;7;1550
"260795 JAQUEIRA";-;7;5;-;1;2;-;-;-;-;-;-;15
"260800 JATAUBA";-;1;3;1;4;3;9;16;17;13;13;14;94
"260805 JATOBA";-;-;-;-;1;2;4;18;-;-;-;-;25
"260810 JOAO ALFREDO";-;-;-;4;-;3;2;4;-;-;-;2;15
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;-;-;4;-;-;-;-;-;-;-;4
"260830 JUPI";-;-;-;-;-;-;-;-;-;-;1;-;1
"260840 JUREMA";-;-;4;27;28;4;2;1;-;1;1;-;68
"260845 LAGOA DO CARRO";-;-;1;-;-;8;9;5;1;2;2;2;30
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;-;-;1;-;-;1
"260860 LAGOA DO OURO";-;-;2;8;65;46;6;19;2;-;-;-;148
"260870 LAGOA DOS GATOS";-;1;1;1;38;32;14;7;1;-;-;-;95
"260875 LAGOA GRANDE";-;1;10;1;2;9;7;3;-;1;-;-;34
"260880 LAJEDO";-;6;18;24;12;6;-;-;-;-;-;-;66
"260890 LIMOEIRO";-;5;2;2;2;19;12;11;8;9;13;7;90
"260900 MACAPARANA";-;4;11;20;10;-;1;-;-;-;-;-;46
"260910 MACHADOS";-;2;52;107;167;118;21;32;2;1;-;-;502
"260915 MANARI";-;-;-;-;-;2;-;-;-;-;-;-;2
"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-
"260930 MIRANDIBA";-;-;5;24;9;-;-;-;-;-;-;-;38
"260940 MORENO";1;-;1;4;1;2;1;-;1;-;1;-;12
"260950 NAZARE DA MATA";27;95;147;53;10;5;12;13;6;4;5;-;377
"260960 OLINDA";5;7;6;13;20;20;26;30;12;-;4;3;146
"260970 OROBO";-;2;7;27;22;21;7;1;2;1;-;-;90
"260980 OROCO";1;2;10;30;26;3;-;1;-;-;-;-;73
"260990 OURICURI";1;-;7;13;7;7;1;-;-;1;1;3;41
"261000 PALMARES";2;8;11;20;28;31;35;14;15;4;2;1;171
"261010 PALMEIRINA";-;-;-;-;2;1;1;-;-;-;-;-;4
"261020 PANELAS";-;1;1;-;1;-;1;-;-;-;-;-;4
"261030 PARANATAMA";-;-;-;1;-;-;-;-;1;-;-;-;2
"261040 PARNAMIRIM";1;-;2;1;4;-;-;-;-;-;-;-;8
"261050 PASSIRA";-;-;1;3;-;-;-;1;-;-;-;-;5
"261060 PAUDALHO";-;-;1;8;1;35;9;62;65;57;44;24;306
"261070 PAULISTA";34;35;49;39;94;212;154;121;75;107;142;83;1145
"261080 PEDRA";1;-;-;1;-;4;2;7;1;-;1;-;17
"261090 PESQUEIRA";-;2;2;5;17;12;-;-;-;-;-;-;38
"261100 PETROLANDIA";-;-;2;5;1;1;3;3;1;2;-;1;19
"261110 PETROLINA";49;113;152;70;12;6;2;5;2;7;3;10;431
"261120 POCAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"261130 POMBOS";-;-;-;8;8;4;2;3;-;-;-;-;25
"261140 PRIMAVERA";-;-;-;-;1;-;-;-;-;1;-;1;3
"261150 QUIPAPA";4;16;23;69;147;137;46;16;7;5;5;7;482
"261153 QUIXABA";-;-;-;4;43;16;2;1;-;-;-;-;66
"261160 RECIFE";31;55;103;162;280;243;320;412;194;159;124;129;2212
"261170 RIACHO DAS ALMAS";-;-;-;4;7;18;5;3;-;1;-;-;38
"261180 RIBEIRAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"261190 RIO FORMOSO";-;1;-;-;-;1;-;-;1;1;-;-;4
"261200 SAIRE";-;-;-;5;7;9;-;2;1;-;-;-;24
"261210 SALGADINHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261220 SALGUEIRO";1;2;32;187;84;4;3;-;1;-;-;2;316
"261230 SALOA";-;-;-;-;-;-;1;-;-;-;-;-;1
"261240 SANHARO";-;-;-;-;2;6;5;1;1;2;-;-;17
"261245 SANTA CRUZ";-;1;3;6;6;-;-;-;-;-;-;-;16
"261247 SANTA CRUZ DA BAIXA VERDE";2;1;8;25;41;14;-;-;-;-;-;-;91
"261250 SANTA CRUZ DO CAPIBARIBE";11;4;12;35;67;9;20;14;10;18;10;3;213
"261255 SANTA FILOMENA";-;-;1;25;91;27;6;-;-;-;-;-;150
"261260 SANTA MARIA DA BOA VISTA";-;1;13;10;4;4;3;-;-;-;1;-;36
"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261280 SANTA TEREZINHA";1;-;7;19;25;10;1;-;-;3;-;-;66
"261290 SAO BENEDITO DO SUL";3;5;18;9;9;9;2;-;-;-;-;-;55
"261300 SAO BENTO DO UNA";1;-;-;1;2;5;3;1;2;3;2;3;23
"261310 SAO CAITANO";-;1;-;-;7;2;3;1;-;-;-;-;14
"261320 SAO JOAO";-;-;1;-;3;1;-;-;-;-;-;-;5
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;-;-;-;-;-;-;-;-
"261340 SAO JOSE DA COROA GRANDE";-;-;1;2;10;-;-;-;-;-;-;-;13
"261350 SAO JOSE DO BELMONTE";-;2;22;11;3;1;-;-;-;-;3;-;42
"261360 SAO JOSE DO EGITO";-;-;-;1;8;8;16;22;7;2;4;1;69
"261370 SAO LOURENCO DA MATA";-;1;-;11;15;-;-;-;-;-;-;2;29
"261380 SAO VICENTE FERRER";-;-;2;-;4;1;7;-;1;-;-;-;15
"261390 SERRA TALHADA";9;8;37;91;112;50;18;13;3;2;3;5;351
"261400 SERRITA";-;2;4;11;5;-;1;-;-;-;-;-;23
"261410 SERTANIA";-;-;-;2;2;1;-;-;-;-;-;-;5
"261420 SIRINHAEM";-;-;-;-;-;2;-;1;-;-;-;-;3
"261430 MOREILANDIA";-;-;-;1;1;-;-;-;-;-;-;-;2
"261440 SOLIDAO";-;-;-;-;-;-;1;1;-;-;-;-;2
"261450 SURUBIM";-;-;2;9;38;13;10;11;5;4;7;5;104
"261460 TABIRA";-;-;1;-;5;3;1;3;2;1;-;-;16
"261470 TACAIMBO";-;-;-;1;-;-;-;-;-;-;-;-;1
"261480 TACARATU";-;-;1;3;4;-;1;-;-;-;-;-;9
"261485 TAMANDARE";-;-;-;1;3;16;15;10;1;1;2;-;49
"261500 TAQUARITINGA DO NORTE";-;-;-;-;-;-;-;-;-;1;-;-;1
"261510 TEREZINHA";-;-;-;-;1;2;3;2;1;-;-;-;9
"261520 TERRA NOVA";-;-;4;30;9;1;1;1;-;-;-;-;46
"261530 TIMBAUBA";1;9;28;13;12;-;1;2;-;-;4;-;70
"261540 TORITAMA";-;-;-;6;6;1;-;-;1;1;-;-;15
"261550 TRACUNHAEM";-;-;10;42;72;70;42;42;17;11;7;4;317
"261560 TRINDADE";1;-;-;-;1;3;1;-;1;-;-;6;13
"261570 TRIUNFO";-;-;-;2;4;-;1;-;-;-;-;-;7
"261580 TUPANATINGA";-;-;1;-;-;2;-;1;-;-;1;-;5
"261590 TUPARETAMA";-;-;-;-;1;-;2;1;1;-;3;-;8
"261600 VENTUROSA";-;-;-;-;3;3;1;1;-;-;-;-;8
"261610 VERDEJANTE";-;1;13;8;11;-;2;-;-;-;-;1;36
"261618 VERTENTE DO LERIO";-;-;-;-;2;-;-;-;-;-;-;-;2
"261620 VERTENTES";-;-;2;3;1;-;2;-;-;-;-;-;8
"261630 VICENCIA";-;-;1;8;3;2;6;9;1;-;-;-;30
"261640 VITORIA DE SANTO ANTAO";7;3;1;5;16;22;22;24;13;23;29;30;195
"261650 XEXEU";-;-;-;-;3;5;4;4;-;-;1;1;18
"Total";290;649;1488;2432;3390;2219;1434;1485;742;680;650;489;15948
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados
   disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que para tal, realiza análise
   ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue,
    dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose
   urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar
   notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epidemiologica 01).
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 13/07/2023, sujeitos a revisão*.
 *Dados disponibilizados no TABNET em setembro de 2023.
 
