DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2007
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260210 BOM CONSELHO";4;3;17;55;42;18;-;-;1;2;-;-;142
"260220 BOM JARDIM";-;-;2;1;4;2;8;2;3;-;-;-;22
"260230 BONITO";-;-;3;4;1;8;7;3;2;2;1;-;31
"260240 BREJAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"260250 BREJINHO";-;-;-;-;7;6;2;1;-;-;-;-;16
"260260 BREJO DA MADRE DE DEUS";47;113;227;258;224;82;28;1;-;1;-;-;981
"260270 BUENOS AIRES";-;-;1;6;-;-;-;-;-;-;-;-;7
"260280 BUIQUE";-;2;2;-;-;-;1;-;-;-;-;-;5
"260290 CABO DE SANTO AGOSTINHO";22;52;102;464;351;423;268;121;22;26;19;36;1906
"260300 CABROBO";-;-;-;-;8;-;-;2;-;-;-;-;10
"260310 CACHOEIRINHA";-;1;3;2;2;6;-;-;-;-;-;-;14
"260320 CAETES";-;-;1;-;4;-;-;-;-;1;1;-;7
"260330 CALCADO";-;-;23;90;74;17;-;-;-;-;-;24;228
"260340 CALUMBI";-;-;-;1;-;2;1;2;-;-;-;-;6
"260345 CAMARAGIBE";-;1;-;1;1;1;3;2;-;-;1;-;10
"260350 CAMOCIM DE SAO FELIX";3;3;2;5;12;3;3;-;-;-;2;-;33
"260360 CAMUTANGA";-;-;1;-;3;1;1;1;-;-;-;-;7
"260370 CANHOTINHO";-;-;-;-;1;-;-;-;-;-;-;-;1
"260380 CAPOEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260390 CARNAIBA";-;3;4;8;4;2;8;2;-;-;-;-;31
"260392 CARNAUBEIRA DA PENHA";-;-;-;1;-;1;-;-;-;1;-;-;3
"260400 CARPINA";7;5;17;50;48;16;26;20;11;7;5;9;221
"260410 CARUARU";36;41;345;1163;1921;1208;325;49;18;21;2;13;5142
"260415 CASINHAS";-;1;4;1;5;6;7;6;-;3;1;1;35
"260420 CATENDE";2;-;-;3;15;-;-;-;-;-;-;-;20
"260430 CEDRO";-;-;-;1;13;27;19;7;-;-;-;-;67
"260440 CHA DE ALEGRIA";-;1;-;3;-;1;2;2;1;-;-;-;10
"260450 CHA GRANDE";75;14;13;13;3;6;4;1;2;1;1;-;133
"260460 CONDADO";1;3;3;9;-;-;-;1;1;3;-;-;21
"260470 CORRENTES";-;-;4;-;1;1;-;1;2;2;-;-;11
"260480 CORTES";-;1;1;-;-;-;10;-;-;1;1;2;16
"260490 CUMARU";1;34;21;16;7;10;-;2;6;7;-;5;109
"260500 CUPIRA";2;19;16;3;8;8;17;12;3;1;-;-;89
"260510 CUSTODIA";36;46;38;35;12;2;3;-;1;-;1;-;174
"260515 DORMENTES";1;18;29;21;1;-;-;-;-;-;-;-;70
"260520 ESCADA";-;-;-;4;-;-;-;-;-;-;-;-;4
"260530 EXU";23;14;12;2;2;1;-;-;-;1;1;-;56
"260540 FEIRA NOVA";-;-;-;-;1;-;2;-;-;2;-;-;5
"260545 FERNANDO DE NORONHA";-;-;1;2;1;1;6;2;-;-;-;-;13
"260550 FERREIROS";1;-;4;-;-;-;-;-;-;-;-;-;5
"260560 FLORES";-;-;6;6;2;1;14;2;30;-;-;-;61
"260570 FLORESTA";1;-;1;3;4;1;7;4;1;1;-;-;23
"260580 FREI MIGUELINHO";-;1;74;60;82;57;12;-;2;1;1;-;290
"260590 GAMELEIRA";1;2;2;4;3;-;4;1;2;-;2;1;22
"260600 GARANHUNS";-;1;7;6;12;18;7;2;3;-;1;4;61
"260610 GLORIA DO GOITA";3;-;-;4;1;-;1;1;1;1;-;2;14
"260620 GOIANA";1;2;5;13;19;8;12;3;1;1;-;-;65
"260630 GRANITO";-;-;1;1;-;4;1;-;-;-;-;-;7
"260640 GRAVATA";2;6;13;39;23;36;26;17;18;10;13;7;210
"260650 IATI";-;-;-;-;11;6;2;2;1;3;-;3;28
"260660 IBIMIRIM";-;2;2;6;4;-;-;-;-;1;-;1;16
"260670 IBIRAJUBA";-;1;1;5;6;1;-;-;-;-;-;-;14
"260680 IGARASSU";-;-;1;4;2;2;5;1;1;1;3;5;25
"260690 IGUARACY";-;1;2;12;9;-;2;-;-;-;1;-;27
"260700 INAJA";2;6;6;4;12;3;10;-;1;1;-;-;45
"260710 INGAZEIRA";1;-;1;2;12;6;4;-;-;-;-;-;26
"260720 IPOJUCA";-;-;5;7;3;8;12;10;1;5;3;3;57
"260730 IPUBI";-;-;-;-;2;6;-;-;-;-;-;3;11
"260740 ITACURUBA";1;-;1;-;-;-;-;-;-;-;-;-;2
"260750 ITAIBA";1;-;25;-;-;-;-;-;-;-;-;-;26
"260760 ILHA DE ITAMARACA";-;2;2;1;2;1;-;-;1;2;-;-;11
"260765 ITAMBE";-;-;-;15;1;-;1;-;-;1;-;1;19
"260770 ITAPETIM";-;-;2;7;10;1;1;-;1;-;1;-;23
"260775 ITAPISSUMA";1;1;-;4;1;-;1;1;3;-;1;-;13
"260780 ITAQUITINGA";-;-;1;3;1;1;2;4;3;-;1;2;18
"260790 JABOATAO DOS GUARARAPES";22;56;98;83;63;98;163;77;46;62;43;39;850
"260795 JAQUEIRA";-;-;-;-;5;-;24;4;1;3;7;7;51
"260800 JATAUBA";2;47;103;70;51;6;-;1;-;-;1;-;281
"260805 JATOBA";-;2;-;2;3;1;-;3;-;1;-;-;12
"260810 JOAO ALFREDO";-;-;2;-;-;1;3;-;2;1;-;-;9
"260820 JOAQUIM NABUCO";2;-;3;5;-;1;3;1;1;-;-;-;16
"260825 JUCATI";-;-;1;3;6;-;-;-;-;-;-;1;11
"260830 JUPI";2;21;50;16;7;2;-;-;-;-;1;-;99
"260840 JUREMA";-;-;2;6;1;1;2;1;1;-;-;-;14
"260845 LAGOA DO CARRO";-;1;17;13;18;10;2;4;6;1;1;1;74
"260850 LAGOA DE ITAENGA";1;-;2;-;2;1;2;2;2;-;-;-;12
"260860 LAGOA DO OURO";-;-;-;3;1;-;1;-;-;-;-;-;5
"260870 LAGOA DOS GATOS";-;-;1;6;10;-;-;1;-;-;1;1;20
"260875 LAGOA GRANDE";-;1;1;2;3;18;10;-;-;-;-;-;35
"260880 LAJEDO";-;2;4;39;54;5;-;2;-;-;-;-;106
"260890 LIMOEIRO";1;2;22;62;40;15;11;15;2;12;4;7;193
"260900 MACAPARANA";-;-;1;7;11;3;1;1;2;1;-;-;27
"260910 MACHADOS";-;-;-;-;-;-;3;-;1;-;-;-;4
"260915 MANARI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260920 MARAIAL";5;4;44;8;3;-;-;-;-;1;-;1;66
"260930 MIRANDIBA";-;-;1;9;23;2;11;-;-;-;-;-;46
"260940 MORENO";40;2;23;24;13;6;21;3;1;-;2;2;137
"260950 NAZARE DA MATA";-;1;8;2;3;-;1;1;-;-;1;-;17
"260960 OLINDA";1;8;7;13;6;6;19;12;4;7;4;13;100
"260970 OROBO";-;-;-;-;-;4;-;1;-;-;-;-;5
"260980 OROCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260990 OURICURI";15;-;2;1;12;3;7;1;8;2;-;-;51
"261000 PALMARES";2;-;6;24;23;15;6;1;-;-;3;-;80
"261010 PALMEIRINA";-;-;2;2;-;-;-;-;-;-;-;-;4
"261020 PANELAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"261030 PARANATAMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261040 PARNAMIRIM";1;-;-;-;-;-;-;-;1;1;-;2;5
"261050 PASSIRA";9;-;2;16;1;31;5;-;3;3;-;-;70
"261060 PAUDALHO";8;8;34;35;10;15;15;12;8;6;2;-;153
"261070 PAULISTA";4;3;33;51;20;7;23;19;13;20;18;10;221
"261080 PEDRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"261090 PESQUEIRA";1;18;104;151;181;65;50;35;5;25;33;18;686
"261100 PETROLANDIA";-;-;-;-;3;3;1;1;2;1;1;2;14
"261110 PETROLINA";8;20;19;15;16;29;13;9;3;4;4;2;142
"261120 POCAO";14;216;104;37;27;-;-;-;-;-;-;1;399
"261130 POMBOS";-;-;-;-;-;-;-;2;-;-;-;-;2
"261140 PRIMAVERA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261150 QUIPAPA";-;-;-;-;-;3;-;-;1;-;-;-;4
"261153 QUIXABA";-;-;1;-;1;-;-;-;-;-;-;-;2
"261160 RECIFE";22;25;76;145;230;209;296;201;86;89;52;55;1486
"261170 RIACHO DAS ALMAS";8;14;91;98;44;17;6;6;1;2;-;-;287
"261180 RIBEIRAO";-;6;8;12;1;2;20;28;9;6;7;2;101
"261190 RIO FORMOSO";-;3;1;-;1;-;-;-;1;-;-;-;6
"261200 SAIRE";-;-;1;-;3;1;11;3;-;-;2;-;21
"261210 SALGADINHO";-;1;-;-;3;-;-;-;-;-;-;-;4
"261220 SALGUEIRO";3;5;34;38;47;23;20;3;-;-;2;1;176
"261230 SALOA";-;-;-;-;1;-;-;-;-;-;-;-;1
"261240 SANHARO";-;-;2;2;12;5;1;2;1;2;1;-;28
"261245 SANTA CRUZ";-;1;33;19;12;1;-;-;1;1;-;-;68
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;2;1;-;1;-;-;-;-;-;4
"261250 SANTA CRUZ DO CAPIBARIBE";109;159;118;137;136;109;60;19;5;5;6;7;870
"261255 SANTA FILOMENA";2;-;3;-;1;-;-;-;-;-;-;-;6
"261260 SANTA MARIA DA BOA VISTA";-;6;4;1;1;-;-;1;-;-;1;-;14
"261270 SANTA MARIA DO CAMBUCA";-;-;-;16;8;2;-;1;-;-;-;-;27
"261280 SANTA TEREZINHA";16;13;1;-;-;-;1;-;-;-;-;-;31
"261290 SAO BENEDITO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-
"261300 SAO BENTO DO UNA";-;-;50;137;91;34;24;7;3;2;1;-;349
"261310 SAO CAITANO";1;1;10;6;16;14;4;2;4;-;-;-;58
"261320 SAO JOAO";1;-;1;1;-;-;-;-;-;-;-;-;3
"261330 SAO JOAQUIM DO MONTE";-;-;7;29;43;46;-;-;-;2;-;-;127
"261340 SAO JOSE DA COROA GRANDE";-;-;1;3;6;-;-;3;3;2;2;-;20
"261350 SAO JOSE DO BELMONTE";57;42;11;28;14;4;1;-;-;-;-;-;157
"261360 SAO JOSE DO EGITO";1;5;32;69;25;22;1;-;1;-;-;-;156
"261370 SAO LOURENCO DA MATA";-;3;2;3;-;4;2;-;1;1;-;-;16
"261380 SAO VICENTE FERRER";22;8;20;8;4;-;1;-;1;1;2;18;85
"261390 SERRA TALHADA";-;-;1;11;33;20;13;7;1;1;9;4;100
"261400 SERRITA";-;6;-;5;27;3;2;1;-;-;-;-;44
"261410 SERTANIA";-;-;-;-;-;-;-;1;-;-;2;5;8
"261420 SIRINHAEM";-;-;-;-;-;2;-;-;-;1;-;-;3
"261430 MOREILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261440 SOLIDAO";1;-;4;4;2;-;2;-;-;-;-;-;13
"261450 SURUBIM";17;1;23;68;56;46;25;4;-;3;1;-;244
"261460 TABIRA";2;15;65;680;74;-;2;-;-;-;1;-;839
"261470 TACAIMBO";-;1;8;14;30;8;3;-;-;-;-;-;64
"261480 TACARATU";-;1;1;-;-;-;1;-;-;-;-;-;3
"261485 TAMANDARE";-;1;6;3;5;2;3;1;-;-;-;-;21
"261500 TAQUARITINGA DO NORTE";-;-;2;10;7;-;-;-;-;-;-;1;20
"261510 TEREZINHA";-;-;5;2;1;7;2;-;-;-;-;-;17
"261520 TERRA NOVA";-;-;1;-;-;1;-;-;-;-;-;-;2
"261530 TIMBAUBA";-;-;3;-;4;1;6;3;-;1;-;-;18
"261540 TORITAMA";1;23;11;5;10;-;1;-;-;-;-;-;51
"261550 TRACUNHAEM";1;-;3;7;-;-;6;4;2;-;-;1;24
"261560 TRINDADE";-;-;-;-;1;-;-;-;-;-;-;-;1
"261570 TRIUNFO";-;-;-;22;5;-;3;4;-;3;-;1;38
"261580 TUPANATINGA";-;-;-;3;1;2;-;-;-;-;-;-;6
"261590 TUPARETAMA";2;3;2;2;2;-;1;-;-;-;-;-;12
"261600 VENTUROSA";-;-;-;1;-;-;-;-;-;1;-;1;3
"261610 VERDEJANTE";1;-;-;-;-;-;2;1;2;-;-;-;6
"261618 VERTENTE DO LERIO";-;-;1;-;5;-;-;1;-;-;-;-;7
"261620 VERTENTES";-;2;8;11;3;5;4;-;-;-;-;-;33
"261630 VICENCIA";-;-;-;-;7;4;6;5;1;-;-;-;23
"261640 VITORIA DE SANTO ANTAO";-;1;4;4;21;19;17;7;5;2;3;1;84
"261650 XEXEU";-;1;2;6;9;1;-;1;-;-;-;-;20
"Total";689;1229;2606;5261;5181;3243;1990;867;409;416;312;351;22554
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
   pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG)
   em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico.
   A partir de 2013, deve-se incluir, além dos casos graves, aqueles com classificação final dengue.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
