DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2008
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260210 BOM CONSELHO";1;-;-;-;3;2;1;-;-;1;-;-;8
"260220 BOM JARDIM";-;-;1;5;5;4;-;-;-;-;1;1;17
"260230 BONITO";1;2;1;3;1;-;1;-;-;1;-;-;10
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";-;2;7;20;18;7;-;-;-;-;-;-;54
"260260 BREJO DA MADRE DE DEUS";-;-;-;-;18;16;2;3;-;-;-;-;39
"260270 BUENOS AIRES";-;-;3;4;55;1;3;-;-;-;-;-;66
"260280 BUIQUE";-;1;5;26;5;-;-;-;-;-;-;-;37
"260290 CABO DE SANTO AGOSTINHO";33;42;86;241;132;82;46;15;8;6;7;2;700
"260300 CABROBO";-;-;-;-;1;-;-;-;-;-;-;-;1
"260310 CACHOEIRINHA";-;-;-;9;2;-;1;1;-;-;-;-;13
"260320 CAETES";-;-;1;4;5;-;-;-;-;-;-;-;10
"260330 CALCADO";59;64;25;17;10;4;-;-;-;-;-;-;179
"260340 CALUMBI";-;-;-;-;2;-;-;-;-;-;-;-;2
"260345 CAMARAGIBE";4;4;5;158;93;6;6;4;-;-;1;1;282
"260350 CAMOCIM DE SAO FELIX";-;-;3;10;3;10;4;1;4;-;3;-;38
"260360 CAMUTANGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260370 CANHOTINHO";-;-;-;5;4;-;2;-;-;-;-;-;11
"260380 CAPOEIRAS";-;-;-;2;1;-;-;-;-;-;-;-;3
"260390 CARNAIBA";-;1;6;15;-;-;-;-;1;-;-;1;24
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260400 CARPINA";33;28;29;93;76;17;8;1;-;3;1;2;291
"260410 CARUARU";7;13;50;161;112;55;14;8;4;2;1;3;430
"260415 CASINHAS";1;3;5;7;23;3;-;-;-;-;-;-;42
"260420 CATENDE";-;-;2;7;-;-;1;-;-;1;-;-;11
"260430 CEDRO";-;-;-;3;6;8;5;-;-;1;1;-;24
"260440 CHA DE ALEGRIA";-;2;18;35;17;-;-;-;-;-;-;-;72
"260450 CHA GRANDE";1;2;29;37;15;5;-;-;-;-;-;1;90
"260460 CONDADO";1;4;7;66;19;10;3;-;-;-;1;-;111
"260470 CORRENTES";-;-;-;-;-;2;-;-;1;-;-;-;3
"260480 CORTES";-;-;-;5;3;2;1;-;-;-;-;-;11
"260490 CUMARU";1;1;1;9;6;-;-;-;-;-;-;-;18
"260500 CUPIRA";-;-;5;13;7;-;-;1;-;-;-;-;26
"260510 CUSTODIA";5;18;91;97;10;1;-;-;-;-;1;-;223
"260515 DORMENTES";-;1;-;1;7;10;1;-;-;-;-;-;20
"260520 ESCADA";-;-;-;3;1;2;-;-;-;-;-;-;6
"260530 EXU";-;-;2;3;7;-;-;-;-;-;-;1;13
"260540 FEIRA NOVA";2;3;5;12;13;5;1;1;1;-;-;-;43
"260545 FERNANDO DE NORONHA";-;1;-;1;1;13;8;1;-;-;1;-;26
"260550 FERREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260560 FLORES";-;-;-;1;6;-;-;-;-;-;-;-;7
"260570 FLORESTA";-;-;-;15;29;19;12;-;-;-;-;-;75
"260580 FREI MIGUELINHO";-;4;1;3;-;-;1;-;-;-;-;-;9
"260590 GAMELEIRA";1;-;-;5;12;8;3;2;4;-;-;-;35
"260600 GARANHUNS";6;25;18;158;124;5;1;1;-;-;-;-;338
"260610 GLORIA DO GOITA";4;1;19;64;11;3;-;-;-;-;-;-;102
"260620 GOIANA";9;16;52;65;32;20;5;2;1;1;-;-;203
"260630 GRANITO";-;-;-;-;2;-;-;-;-;-;-;-;2
"260640 GRAVATA";9;1;14;46;36;11;8;5;-;1;1;-;132
"260650 IATI";1;7;14;9;4;1;-;2;-;-;-;-;38
"260660 IBIMIRIM";-;1;31;3;5;-;-;-;-;-;-;-;40
"260670 IBIRAJUBA";-;-;13;31;5;-;-;-;-;-;-;-;49
"260680 IGARASSU";12;14;21;72;64;20;29;7;3;3;5;7;257
"260690 IGUARACY";-;1;-;1;-;-;-;-;-;-;-;-;2
"260700 INAJA";-;-;9;7;5;4;1;-;-;-;-;-;26
"260710 INGAZEIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260720 IPOJUCA";6;4;27;135;50;12;7;7;5;1;2;1;257
"260730 IPUBI";33;28;8;12;5;-;-;-;-;-;-;-;86
"260740 ITACURUBA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260750 ITAIBA";-;-;-;-;2;-;-;-;-;-;-;-;2
"260760 ILHA DE ITAMARACA";2;-;2;3;1;-;-;1;-;-;-;1;10
"260765 ITAMBE";-;-;16;7;-;-;-;-;-;-;-;-;23
"260770 ITAPETIM";-;1;36;34;-;-;-;-;-;-;-;-;71
"260775 ITAPISSUMA";-;1;-;3;5;1;1;-;-;-;-;-;11
"260780 ITAQUITINGA";-;1;3;10;12;6;-;-;-;-;-;-;32
"260790 JABOATAO DOS GUARARAPES";44;68;140;553;356;229;60;36;7;4;2;1;1500
"260795 JAQUEIRA";-;-;3;24;3;-;-;1;-;-;-;-;31
"260800 JATAUBA";1;-;19;114;11;1;-;-;-;-;-;-;146
"260805 JATOBA";-;-;1;1;-;-;3;1;2;-;1;-;9
"260810 JOAO ALFREDO";2;2;3;19;3;-;1;-;-;-;-;-;30
"260820 JOAQUIM NABUCO";-;-;-;1;-;-;-;-;-;-;-;-;1
"260825 JUCATI";-;-;-;2;1;-;-;-;-;-;-;-;3
"260830 JUPI";-;-;-;1;1;2;-;-;-;-;-;-;4
"260840 JUREMA";-;-;1;24;4;-;-;1;-;-;-;-;30
"260845 LAGOA DO CARRO";-;-;1;12;-;5;-;-;-;-;-;-;18
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260860 LAGOA DO OURO";-;-;-;3;-;-;-;-;-;-;-;-;3
"260870 LAGOA DOS GATOS";-;-;12;8;1;-;-;-;-;-;-;-;21
"260875 LAGOA GRANDE";-;12;37;81;16;1;1;-;-;-;-;-;148
"260880 LAJEDO";-;-;2;1;8;1;-;-;-;-;-;-;12
"260890 LIMOEIRO";6;4;29;83;35;16;7;3;1;-;-;1;185
"260900 MACAPARANA";-;-;1;14;9;2;2;-;1;-;-;-;29
"260910 MACHADOS";2;-;9;28;6;6;2;-;-;-;-;-;53
"260915 MANARI";-;-;2;6;1;-;-;-;-;-;-;-;9
"260920 MARAIAL";-;-;1;1;-;-;-;1;-;-;-;-;3
"260930 MIRANDIBA";-;-;3;20;16;2;4;-;-;-;-;-;45
"260940 MORENO";2;1;-;8;15;5;1;1;1;-;-;-;34
"260950 NAZARE DA MATA";1;-;-;-;1;-;-;-;-;-;-;-;2
"260960 OLINDA";15;37;105;223;280;54;33;19;12;4;-;-;782
"260970 OROBO";4;8;7;1;2;1;-;-;1;-;-;-;24
"260980 OROCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260990 OURICURI";1;20;20;88;41;1;-;-;-;-;-;-;171
"261000 PALMARES";1;-;4;27;3;3;2;1;-;2;-;-;43
"261010 PALMEIRINA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261020 PANELAS";-;-;27;15;22;6;3;7;1;1;-;-;82
"261030 PARANATAMA";-;1;-;3;2;-;-;-;-;-;-;-;6
"261040 PARNAMIRIM";15;3;5;3;-;-;-;-;-;-;-;-;26
"261050 PASSIRA";6;6;4;20;2;1;1;1;-;-;-;-;41
"261060 PAUDALHO";8;4;5;12;6;7;5;1;5;5;-;2;60
"261070 PAULISTA";2;10;39;219;183;134;51;19;13;1;7;7;685
"261080 PEDRA";11;5;1;18;6;1;-;-;-;-;-;1;43
"261090 PESQUEIRA";19;25;147;292;121;29;11;6;2;1;2;1;656
"261100 PETROLANDIA";2;-;2;8;9;3;3;2;2;-;-;-;31
"261110 PETROLINA";12;25;65;332;254;42;10;4;2;1;2;3;752
"261120 POCAO";-;-;12;30;-;-;-;-;-;-;-;-;42
"261130 POMBOS";1;7;10;36;7;2;-;-;-;-;-;-;63
"261140 PRIMAVERA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261150 QUIPAPA";-;-;2;6;1;-;-;-;-;-;-;-;9
"261153 QUIXABA";-;1;-;-;-;-;-;-;-;-;-;-;1
"261160 RECIFE";74;121;294;1801;1635;775;349;146;54;60;44;16;5369
"261170 RIACHO DAS ALMAS";2;-;-;1;-;-;-;-;-;-;1;-;4
"261180 RIBEIRAO";2;4;8;15;38;20;4;1;-;-;2;1;95
"261190 RIO FORMOSO";-;-;-;4;1;-;-;-;-;-;-;-;5
"261200 SAIRE";-;-;-;-;-;-;-;-;-;-;-;-;-
"261210 SALGADINHO";-;1;-;2;1;-;-;-;-;-;-;-;4
"261220 SALGUEIRO";-;1;16;62;67;60;17;-;-;-;-;-;223
"261230 SALOA";-;-;-;1;6;1;-;-;-;-;-;-;8
"261240 SANHARO";-;-;4;14;6;-;-;-;-;-;-;-;24
"261245 SANTA CRUZ";-;7;9;33;-;1;3;-;-;-;1;-;54
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;1;2;2;-;-;-;-;-;-;-;5
"261250 SANTA CRUZ DO CAPIBARIBE";6;1;8;38;7;7;1;-;1;2;-;-;71
"261255 SANTA FILOMENA";-;-;1;1;-;-;-;-;-;-;-;-;2
"261260 SANTA MARIA DA BOA VISTA";-;7;12;16;7;17;1;-;-;-;-;-;60
"261270 SANTA MARIA DO CAMBUCA";-;-;5;-;-;-;5;-;-;-;-;-;10
"261280 SANTA TEREZINHA";1;-;16;23;3;-;-;1;-;-;-;-;44
"261290 SAO BENEDITO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-
"261300 SAO BENTO DO UNA";1;-;6;23;3;-;-;-;-;-;-;-;33
"261310 SAO CAITANO";-;-;3;7;4;1;1;1;2;1;-;-;20
"261320 SAO JOAO";-;-;2;1;1;1;-;-;-;-;-;-;5
"261330 SAO JOAQUIM DO MONTE";-;-;-;24;1;-;-;-;-;-;-;-;25
"261340 SAO JOSE DA COROA GRANDE";1;1;-;4;4;-;-;1;1;-;-;-;12
"261350 SAO JOSE DO BELMONTE";-;-;1;6;51;20;1;-;-;-;-;-;79
"261360 SAO JOSE DO EGITO";-;4;3;11;10;3;-;-;-;1;-;-;32
"261370 SAO LOURENCO DA MATA";1;-;11;4;3;4;5;1;-;-;-;-;29
"261380 SAO VICENTE FERRER";3;4;24;36;14;1;-;-;-;-;-;-;82
"261390 SERRA TALHADA";7;13;92;238;41;22;17;-;-;1;2;-;433
"261400 SERRITA";3;20;39;26;3;4;-;-;-;-;1;-;96
"261410 SERTANIA";2;15;16;26;6;1;-;-;-;-;-;-;66
"261420 SIRINHAEM";-;-;1;2;-;2;3;1;-;-;-;-;9
"261430 MOREILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261440 SOLIDAO";-;-;4;3;1;-;-;-;-;-;-;-;8
"261450 SURUBIM";2;-;1;8;5;5;3;1;-;-;-;-;25
"261460 TABIRA";-;-;-;-;-;-;-;-;-;-;3;-;3
"261470 TACAIMBO";-;-;-;3;-;1;-;-;-;-;-;-;4
"261480 TACARATU";-;-;1;2;-;-;-;-;-;-;-;-;3
"261485 TAMANDARE";1;4;19;32;12;2;-;-;1;-;-;-;71
"261500 TAQUARITINGA DO NORTE";3;-;-;3;4;-;-;1;-;-;-;-;11
"261510 TEREZINHA";-;-;1;-;-;1;-;-;-;-;-;-;2
"261520 TERRA NOVA";-;-;-;-;2;-;-;-;-;-;-;-;2
"261530 TIMBAUBA";1;-;-;7;1;1;-;-;-;-;-;-;10
"261540 TORITAMA";-;-;1;6;3;-;-;-;-;-;-;-;10
"261550 TRACUNHAEM";-;-;-;1;-;-;-;-;-;-;-;-;1
"261560 TRINDADE";1;-;1;4;2;-;-;-;-;-;-;-;8
"261570 TRIUNFO";-;2;7;12;6;1;-;1;-;-;-;-;29
"261580 TUPANATINGA";-;-;42;8;2;-;-;-;-;-;-;-;52
"261590 TUPARETAMA";-;-;2;3;-;-;-;-;-;-;-;-;5
"261600 VENTUROSA";-;2;7;10;11;-;1;-;-;-;-;-;31
"261610 VERDEJANTE";-;-;-;-;5;3;2;-;-;-;-;-;10
"261618 VERTENTE DO LERIO";-;-;-;1;-;-;-;-;-;-;-;-;1
"261620 VERTENTES";1;-;-;5;-;1;-;-;-;-;-;-;7
"261630 VICENCIA";1;1;-;1;-;-;-;-;-;-;-;-;3
"261640 VITORIA DE SANTO ANTAO";4;7;23;256;315;94;20;4;2;-;4;-;729
"261650 XEXEU";-;1;-;1;1;-;-;-;-;-;-;-;3
"Total";545;827;2372;7549;5178;2103;857;346;162;116;103;57;20215
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
   pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG)
   em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico.
   A partir de 2013, deve-se incluir, além dos casos graves, aqueles com classificação final dengue.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
